function_name,defined_in_migrations,redefinition_count
bodies,20260527000002_phase2_hardening.sql,1
enforce_metrics_snapshot_immutability,add-phase4b-governance-observability.migration.sql,1
enforce_prompt_validation_immutability,add-phase4b-governance-observability.migration.sql,1
enforce_provenance_immutability,add-phase4b-governance-observability.migration.sql,1
find_similar_skills,001_semantic_ai_upgrade.sql,1
public._set_updated_at,000_initial_schema.sql,1
public.acquire_sync_lock,000_initial_schema.sql,1
public.activate_subscription_tx,000_initial_schema.sql,1
public.add_skills_to_profile,000_initial_schema.sql,1
public.aggregate_daily_metrics,000_initial_schema.sql,1
public.approve_pending_entry_transaction,000_initial_schema.sql,1
public.autocomplete_roles,000_initial_schema.sql,1
public.bulk_import_dataset,000_initial_schema.sql,1
public.bulk_import_graph,000_initial_schema.sql,1
public.bulk_import_skills,000_initial_schema.sql,1
public.cancel_subscription_tx,000_initial_schema.sql,1
public.career_health_set_latest,202604130002_ai_tables.sql,1
public.check_and_increment_ai_usage,000_initial_schema.sql,1
public.check_rate_limit,000_initial_schema.sql,1
public.chi_lifecycle_run,20260411023000_chi_retention_lifecycle.sql,1
public.claim_ai_job_for_processing,000_initial_schema.sql,1
public.claim_automation_job,000_initial_schema.sql,1
public.claim_job,000_initial_schema.sql,1
public.claim_outbox_events,000_initial_schema.sql,1
public.cleanup_old_chi_scores_partitions,20260410162714_remote_schema.sql,1
public.cleanup_old_search_events,000_initial_schema.sql,1
public.complete_professional_onboarding,000_initial_schema.sql,1
public.complete_resume_onboarding,000_initial_schema.sql,1
public.complete_student_onboarding,000_initial_schema.sql,1
public.compute_learning_progress,20260410162714_remote_schema.sql,1
public.consume_ai_credits,000_initial_schema.sql,1
public.create_chi_score_partition,20260411023000_chi_retention_lifecycle.sql,1
public.create_cms_role,000_initial_schema.sql,1
public.create_employer_with_admin,000_initial_schema.sql,1
public.create_next_quarterly_partition,000_initial_schema.sql,1
public.create_resume_analysis_snapshot,20260410162714_remote_schema.sql,1
public.create_role,000_initial_schema.sql,1
public.deduct_credits,000_initial_schema.sql,1
public.delete_role,000_initial_schema.sql,1
public.delete_user_data,000_initial_schema.sql,1
public.drop_stale_chi_partitions,20260411023000_chi_retention_lifecycle.sql,1
public.ensure_chi_mv_fresh,20260411023000_chi_retention_lifecycle.sql,1
public.ensure_chi_scores_partition,20260410162714_remote_schema.sql,1
public.ensure_future_chi_scores_partitions,20260410162714_remote_schema.sql,1
public.fail_automation_job,000_initial_schema.sql,1
public.fail_job,000_initial_schema.sql,1
public.find_similar_skills,000_initial_schema.sql,1
public.fn__phase2_resolve_board_id,20260527000001_phase2_academic_context_apis.sql,1
public.fn__phase2_resolve_country_id,20260527000001_phase2_academic_context_apis.sql,1
public.fn__phase2_resolve_region_id,20260527000001_phase2_academic_context_apis.sql,1
public.fn__phase2_resolve_stream_id,20260527000001_phase2_academic_context_apis.sql,1
public.fn_academic_taxonomy_hash,20260526000001_phase1a_academic_taxonomy_infrastructure.sql,1
public.fn_approve_lineage_transition,fn_approve_lineage_transition_DROP_CREATE.sql,1
public.fn_build_cache_key,20260526000007_phase1a_distributed_governance.sql,1
public.fn_complete_academic_onboarding,20260527000003_phase2b_student_academic_rpcs_evolution.sql,1
public.fn_consent_ledger_immutable,20260601000001_governance_foundation_RECONSTRUCTED.sql,1
public.fn_create_student_academic_profile,20260527000003_phase2b_student_academic_rpcs_evolution.sql,1
public.fn_deprecate_taxonomy_entity,20260526000003_phase1a_taxonomy_utility_rpcs.sql;20260526000004_phase1a_governance_hardening.sql,2
public.fn_enforce_immutable_business_key,20260526000004_phase1a_governance_hardening.sql,1
public.fn_explainability_snapshot_immutable,20260601000001_governance_foundation_RECONSTRUCTED.sql;20260601000004_governance_refinements.sql,2
public.fn_explanation_details_guard,20260608000001_intelligence_foundation_layer.sql,1
public.fn_get_active_model_version,20260601000004_governance_refinements.sql,1
public.fn_get_active_weight_version,20260601000001_governance_foundation_RECONSTRUCTED.sql;20260601000004_governance_refinements.sql,2
public.fn_get_boards_for_region,20260526000006_phase1a_operational_governance.sql;20260527000001_phase2_academic_context_apis.sql;20260527000002_phase2_hardening.sql,3
public.fn_get_consent_history,20260601000001_governance_foundation_RECONSTRUCTED.sql;20260601000004_governance_refinements.sql,2
public.fn_get_countries,20260527000001_phase2_academic_context_apis.sql;20260527000002_phase2_hardening.sql,2
public.fn_get_intelligence_history,20260608000001_intelligence_foundation_layer.sql,1
public.fn_get_languages_for_region,20260526000003_phase1a_taxonomy_utility_rpcs.sql;20260527000001_phase2_academic_context_apis.sql;20260527000002_phase2_hardening.sql,3
public.fn_get_latest_explanation,20260601000001_governance_foundation_RECONSTRUCTED.sql;20260601000004_governance_refinements.sql,2
public.fn_get_lineage_audit_log,Sprint_1C_Migration_1C_01.sql,1
public.fn_get_next_snapshot_sequence,20260608000001_intelligence_foundation_layer.sql,1
public.fn_get_recommendation_explanation,20260608000001_intelligence_foundation_layer.sql,1
public.fn_get_regions_for_country,20260526000006_phase1a_operational_governance.sql;20260527000001_phase2_academic_context_apis.sql;20260527000002_phase2_hardening.sql,3
public.fn_get_registry_audit_events,Sprint_1C_Migration_1C_01.sql,1
public.fn_get_signal_lineage_summary,Sprint_1C_Migration_1C_01.sql,1
public.fn_get_signal_successors,Sprint_1C_Migration_1C_01.sql,1
