filename,tables_created,functions_created,views,matviews,enums,extensions,indexes,triggers,policies,fk_refs,inserts,rls_enabled_count,security_definer_count
000_initial_schema.sql,176,100,1,3,2,3,426,52,115,36,51,175,61
001_semantic_ai_upgrade.sql,5,2,0,0,0,1,7,2,2,0,0,2,0
002_career_opportunity_radar.sql,3,0,0,0,0,0,6,1,2,1,1,2,0
003_ai_event_bus.sql,6,0,0,0,0,0,4,5,6,5,0,6,0
004_ai_personalization_engine.sql,3,0,0,0,0,0,6,1,3,0,0,3,0
006_multi_agent_system.sql,2,0,0,0,0,0,4,1,2,0,0,2,0
20260327210024_add_career_metrics.sql,0,0,0,0,0,0,0,0,4,1,0,0,0
20260327210035_add_career_conversations.sql,0,0,0,0,0,0,1,0,4,1,0,0,0
20260410000000_phase1_db_security.sql,0,0,0,0,0,0,0,0,12,0,0,0,0
20260410020500_chi_scores_partition_lifecycle.sql,1,0,0,0,0,0,0,0,0,0,0,0,0
20260410021700_get_latest_chi_score_rpc.sql,0,1,0,0,0,0,0,0,0,0,0,0,0
20260410023400_get_chi_trend_history.sql,0,1,0,0,0,0,0,0,0,0,0,0,0
20260410162714_remote_schema.sql,7,16,0,2,0,1,35,1,4,0,2,1,11
20260411011500_index_drift_audit.sql,0,0,0,0,0,0,13,0,0,0,0,0,0
20260411013000_rpc_hotspot_fixes.sql,0,2,0,0,0,0,0,0,0,0,0,0,0
20260411014500_partition_pruning.sql,0,1,0,1,0,0,3,0,0,0,0,0,0
20260411020000_percentile_optimization.sql,0,2,0,0,0,0,0,0,0,0,0,0,0
20260411021500_peer_benchmark_mv.sql,0,2,0,1,0,0,3,0,0,0,0,0,1
20260411023000_chi_retention_lifecycle.sql,1,4,0,0,0,0,0,0,0,0,0,0,4
20260411030000_hot_enterprise_tenants_fn.sql,0,1,0,0,0,0,0,0,0,0,0,0,1
20260411031500_lifecycle_wrapper_fns.sql,0,2,0,0,0,0,0,0,0,0,0,0,2
20260411033000_benchmark_prewarm_fns.sql,0,2,0,0,0,0,0,0,0,0,0,0,2
202604130001_baseline_schema.sql,1,2,0,0,0,2,0,5,0,2,0,0,0
202604130002_ai_tables.sql,1,1,0,0,0,0,1,3,0,1,0,0,0
202604130003_roles_skills.sql,2,0,0,0,0,0,0,2,0,2,0,0,0
202604130004_indexes_and_rpcs.sql,0,2,0,0,0,0,12,0,0,0,1,0,2
202604130005_rls_policies.sql,0,1,0,0,0,0,0,0,13,0,0,10,1
20260421000001_audit_fixes.sql,1,0,0,0,0,0,1,0,2,0,1,0,0
20260516000001_phase4a_intelligence_quality.sql,4,0,1,0,0,0,13,0,8,0,0,4,0
20260517_phase4b_ai_confidence_language.sql,2,1,1,0,0,0,5,2,2,0,0,1,0
20260518000001_student_onboarding_foundation.sql,2,1,0,0,0,0,3,2,6,2,0,2,0
20260519000001_fix_handle_new_user_trigger.sql,0,1,0,0,0,0,0,0,0,0,2,0,2
20260520000001_add_engine_version_to_sessions.sql,0,0,0,0,0,0,0,0,0,0,0,0,0
20260520000002_fix_current_step_constraint.sql,1,0,0,0,0,0,0,0,0,0,0,0,0
20260522000001_student_academic_records.sql,2,2,0,0,5,0,9,2,0,3,0,0,0
20260522000002_academic_rls_policies.sql,0,0,0,0,0,0,0,0,8,0,0,2,0
20260523000001_student_activities_phase3b.sql,4,4,0,0,5,0,14,4,12,7,1,4,0
20260524000001_student_cognitive_phase3c.sql,5,2,0,0,2,0,7,2,7,5,21,5,0
20260525000001_cross_domain_intelligence_phase3d.sql,5,2,0,0,8,1,16,5,10,3,2,5,0
20260526000001_phase1a_academic_taxonomy_infrastructure.sql,8,3,0,0,0,3,24,16,16,7,0,8,1
20260526000002_phase1a_seed_v1_india_taxonomy.sql,0,0,0,0,0,0,0,0,0,0,11,0,0
20260526000003_phase1a_taxonomy_utility_rpcs.sql,0,5,0,0,0,0,0,0,0,0,0,0,5
20260526000004_phase1a_governance_hardening.sql,1,2,0,0,0,0,11,8,2,2,0,1,1
20260526000005_phase1a_seed_board_region_map.sql,0,0,0,0,0,0,0,0,0,0,3,0,0
20260526000006_phase1a_operational_governance.sql,1,3,0,0,0,0,0,3,1,0,0,1,2
20260526000007_phase1a_distributed_governance.sql,2,4,0,0,0,0,0,1,2,0,1,1,3
20260527000001_phase2_academic_context_apis.sql,0,10,0,0,0,0,0,0,0,0,0,0,11
